"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20220101","경원선","서빙고","750","695","20220104",""
"20220101","경원선","이촌(국립중앙박물관)","1274","1053","20220104",""
"20220101","경부선","광명","1527","1276","20220104",""
"20220101","경부선","서동탄","502","526","20220104",""
"20220101","경부선","당정","2205","2137","20220104",""
"20220101","경부선","천안","3883","4082","20220104",""
"20220101","경부선","두정","2964","2944","20220104",""
"20220101","경부선","직산","395","364","20220104",""
"20220101","경부선","성환","1878","1795","20220104",""
"20220101","경부선","평택","8433","8221","20220104",""
"20220101","경부선","평택지제","1715","1621","20220104",""
"20220101","경부선","서정리","3572","3493","20220104",""
"20220101","경부선","송탄","2889","2713","20220104",""
"20220101","경부선","진위","627","568","20220104",""
"20220101","경부선","오산","6174","6117","20220104",""
"20220101","경부선","오산대","1757","1558","20220104",""
"20220101","경부선","세마","1243","1182","20220104",""
"20220101","경부선","병점","7334","7617","20220104",""
"20220101","경부선","세류","1498","1549","20220104",""
"20220101","경부선","독산","4704","4655","20220104",""
"20220101","경부선","수원","24644","25858","20220104",""
"20220101","경부선","화서","2910","2947","20220104",""
"20220101","경부선","성균관대","5914","6247","20220104",""
"20220101","경부선","의왕","3292","3300","20220104",""
"20220101","경부선","군포","2476","2230","20220104",""
"20220101","경부선","금정","10218","10393","20220104",""
"20220101","경부선","명학","2482","2353","20220104",""
"20220101","경부선","안양","10329","10440","20220104",""
"20220101","경부선","관악","3254","3061","20220104",""
"20220101","경부선","석수","3675","3478","20220104",""
"20220101","경부선","금천구청","4596","4650","20220104",""
"20220101","경부선","가산디지털단지","3643","5070","20220104",""
"20220101","경부선","구로","7339","7617","20220104",""
"20220101","경부선","신길","3252","2893","20220104",""
"20220101","경부선","신도림","1490","1275","20220104",""
"20220101","경부선","영등포","24257","24411","20220104",""
"20220101","경부선","대방","4284","4259","20220104",""
"20220101","경부선","노량진","5028","4908","20220104",""
"20220101","경부선","용산","22345","22394","20220104",""
"20220101","경부선","남영","3089","3046","20220104",""
"20220101","경부선","서울역","3983","1105","20220104",""
"20220101","경강선","여주","1329","1328","20220104",""
"20220101","경강선","세종대왕릉","161","195","20220104",""
"20220101","경강선","부발","1223","1233","20220104",""
"20220101","경강선","이천","1644","1720","20220104",""
"20220101","경강선","신둔도예촌","589","579","20220104",""
"20220101","경강선","곤지암","1251","1182","20220104",""
"20220101","경강선","초월","1169","1135","20220104",""
"20220101","경강선","경기광주","2922","3062","20220104",""
"20220101","경강선","삼동","749","681","20220104",""
"20220101","경강선","이매","519","317","20220104",""
"20220101","경강선","판교","1427","1260","20220104",""
"20220101","9호선2~3단계","중앙보훈병원","2192","2310","20220104",""
"20220101","9호선2~3단계","둔촌오륜","301","293","20220104",""
"20220101","9호선2~3단계","올림픽공원(한국체대)","5633","5455","20220104",""
"20220101","9호선2~3단계","한성백제","931","822","20220104",""
"20220101","9호선2~3단계","송파나루","2349","2546","20220104",""
"20220101","9호선2~3단계","석촌","3312","2852","20220104",""
"20220101","9호선2~3단계","석촌고분","2375","2318","20220104",""
"20220101","9호선2~3단계","삼전","2776","2658","20220104",""
"20220101","9호선2~3단계","종합운동장","1485","1472","20220104",""
